abertausend 	abertausend, Abertausend	abertausend, *Abertausend*
Abertausende	Abertausende, abertausende	*Abertausende*, abertausende
abhanden kommen	abhanden kommen	abhandenkommen, abhandengekommen
abscheuerregend	Abscheu erregend	Abscheu erregend, *abscheuerregend*
abseits stehen	abseits stehen	abseitsstehen
abwärts fahren	abwärts fahren	abwärtsfahren
achtfach, 8fach	achtfach, 8fach	achtfach, 8fach, *8-fach*
achtgeben	Acht geben	Acht geben, *achtgeben*, gib Acht, gib *acht*
achthaben	Acht haben	Acht haben, *achthaben*
achtziger Jahre (Jahrzehnt)	Achtzigerjahre, achtziger Jahre (Jahrzehnt)	Achtzigerjahre, *achtziger Jahre* (Jahrzehnt), 80-er Jahre, *80er Jahre*
Achtzigerjahre (Lebensabschnitt)	Achtzigerjahre, achtziger Jahre (Lebensabschnitt)	*Achtzigerjahre*, achtziger Jahre (Lebensabschnitt)
ackerbautreibend	Ackerbau treibend	Ackerbau treibend, *ackerbautreibend*
adieu	Adieu, adieu	*Adieu*, adieu, *Ade*, ade
Agraphie	Agraphie	Agrafie, *Agraphie*, Dysgrafie, *Dysgraphie*
ähnliches	Ähnliches	Ähnliches
ähnlich sehen	ähnlich sehen	ähnlich sehen
alleinerziehend	allein erziehend	allein erziehend, *alleinerziehend*
Alleinerziehende	allein Erziehende, Alleinerziehende	allein Erziehende, *Alleinerziehende*
allein lassen	allein lassen	in wörtlicher Bedeutung allein lassen: Kleinkinder soll man nie allein lassen, in übertragener Bedeutung alleinlassen: sich von aller Welt alleingelassen fühlen 
allein stehen	allein stehen	in wörtlicher Bedeutung allein stehen: das Kleinkind kann schon allein stehen, in übertragener Bedeutung alleinstehen: er gab eine Kontaktanzeige auf, um nicht mehr länger alleinzustehen
alleinstehend	allein stehend	alleinstehend
alleinseligmachend	allein selig machend, alleinseligmachend	allein selig machend, *allein seligmachend*, *selig machen*, seligmachen
alles andere	alles andere	*alles andere*, alles Andere
allgemeinbildend	allgemein bildend	allgemein bildend, *allgemeinbildend*
allgemeingültig	allgemein gültig	allgemein gültig, *allgemeingültig*
Alptraum	Albtraum, Alptraum	Albtraum, *Alptraum*
Alpdruck	Albdruck, Alpdruck	Albdruck, *Alpdruck*
Alpdrücken	Albdrücken, Alpdrücken	Albdrücken, *Alpdrücken* 
alt machen	alt machen	*alt machen*, altmachen
andersdenkend 	anders denkend	anders denkend, *andersdenkend*
Andersdenkende	Andersdenkende, anders Denkende	anders Denkende, *Andersdenkende*
anderslautend	anders lautend	anders lautend, *anderslautend*
anheimfallen	anheim fallen	anheimfallen
anheimstellen	anheim stellen	anheimstellen
angst machen	Angst machen	Angst machen
angst und bange machen	Angst und Bange machen	Angst und Bange machen
angst und bange sein	angst und bange sein	angst und bange sein
anhand, an Hand	anhand	anhand
arbeitsuchend, arbeitssuchend	Arbeit suchend, arbeitssuchend	Arbeit suchend, *arbeitsuchend*, arbeitssuchend
aufeinanderfolgen	aufeinander folgen	aufeinander folgen, *aufeinanderfolgen*, aufeinander folgen, *aufeinanderfolgen* 
aufgrund, auf Grund	aufgrund, auf Grund	*aufgrund*, auf Grund
aufs äußerste	aufs Äußerste	*aufs Äußerste*, aufs äußerste
aufs schlimmste	aufs Schlimmste	*aufs Schlimmste*, aufs schlimmste
aufsehenerregend	Aufsehen erregend	Aufsehen erregend, *aufsehenerregend*
auf seiten	aufseiten, auf Seiten	*aufseiten*, auf Seiten
aufwendig	aufwändig, aufwendig	aufwändig, *aufwendig*
auseinander schreiben	auseinander schreiben	auseinanderschreiben (aber: getrennt schreiben)
auseinandersetzen (sich beschäftigen mit), auseinander setzen (entfernte Sitzplätze zuweisen)	auseinander setzen	auseinandersetzen 
außer acht lassen; das Außerachtlassen	außer Acht lassen; das Außer-Acht-Lassen	außer Acht lassen; das Außerachtlassen


